
code	|	name	|	preferred name	|	lineage
1	|	Acaromyces	|	 	|	215249 62920 5404 452283 452284 5204 451864 4751 33154 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Daldinia	|	 	|	42360 2033035 37989 222545 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Polarella	|	 	|	89956 89955 89954 2864 33630 2698737 2759 131567 
1	|	Fusarium	|	 	|	5506 110618 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Partenskyella	|	 	|	647365 29197 136419 543769 2698737 2759 131567 
1	|	Hyphopichia	|	 	|	507510 766764 2916678 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Gaeumannomyces	|	 	|	29849 81093 639021 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Gaeumannomyces	|	 	|	29849 81093 639021 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Chrysophaeum	|	 	|	2483199 54409 35675 2696291 33634 2698737 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Ophidiomyces	|	 	|	1387562 33184 33183 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Lotharella	|	 	|	74819 29197 136419 543769 2698737 2759 131567 
1	|	Cladocopium	|	 	|	2486696 252141 89954 2864 33630 2698737 2759 131567 
1	|	Pythium	|	 	|	4797 4782 121069 4762 33634 2698737 2759 131567 
1	|	Pipistrellus	|	 	|	27671 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Cyclopterus	|	 	|	8102 181456 8101 1490021 8100 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Albugo	|	 	|	65356 65355 370421 4762 33634 2698737 2759 131567 
1	|	Cyanidioschyzon	|	 	|	45156 265316 265318 2797 2763 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Pseudo-nitzschia	|	 	|	41953 33852 33851 33850 33849 2836 2696291 33634 2698737 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Mixia	|	 	|	34348 165795 432026 432025 29000 5204 451864 4751 33154 2759 131567 
1	|	Blepharisma	|	 	|	5959 219171 5957 194287 431837 5878 33630 2698737 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Eimeria	|	 	|	5800 5799 423054 75739 5796 1280412 5794 33630 2698737 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Cassidulina	|	 	|	325260 203408 203407 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Pyricularia	|	 	|	48558 2528436 639021 222544 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus	|	 	|	5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Chrysophaeum	|	 	|	2483199 54409 35675 2696291 33634 2698737 2759 131567 
1	|	Perkinsus	|	 	|	28000 27999 27998 27997 2497438 33630 2698737 2759 131567 
1	|	Monosiga	|	 	|	81525 81529 1924738 28009 33154 2759 131567 
1	|	Candida	|	 	|	5475 1535325 766764 2916678 4892 4891 147537 716545 4890 451864 4751 33154 2759 131567 
1	|	Microsporum	|	 	|	34392 34384 33183 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Mollisia	|	 	|	86026 2755564 5178 147548 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1+	|	Achlya	|	 	|	4765 4764 4763 4762 33634 2698737 2759 131567 
